CMDLINE /home/aryan/projects_linux/WLASL_USING_MEDIAPIPE_ND_ML/ExtractLandmarks/.venv/bin/python3 extract_all_landmarks.py
MEM 0.335938 1773070016.8160
MEM 58.417969 1773070016.9187
MEM 60.890625 1773070017.0190
MEM 83.011719 1773070017.1192
MEM 114.761719 1773070017.2194
MEM 298.363281 1773070017.3198
MEM 275.695312 1773070017.4199
MEM 342.363281 1773070017.5202
MEM 333.882812 1773070017.6204
MEM 272.824219 1773070017.7206
MEM 354.027344 1773070017.8209
MEM 405.648438 1773070017.9211
MEM 345.488281 1773070018.0213
MEM 337.085938 1773070018.1215
MEM 460.113281 1773070018.2217
